city;state;country;latitude;longitude;count;
adak;ak;us;51,880000;-176,658056;1;
cold bay;ak;us;55,185833;-162,721111;1;
ketchikan;ak;us;55,342222;-131,646111;7;
ward cove;ak;us;55,411944;-131,722778;1;
craig;ak;us;55,476389;-133,148333;1;
wrangell;ak;us;56,470833;-132,376667;3;
petersburg;ak;us;56,812500;-132,955556;1;
sitka;ak;us;57,053056;-135,330000;1;
kodiak;ak;us;57,790000;-152,407222;5;
juneau;ak;us;58,301944;-134,419722;12;
auke bay;ak;us;58,383333;-134,659722;2;
gustavus;ak;us;58,413333;-135,736944;1;
haines;ak;us;59,235833;-135,445000;1;
yakutat;ak;us;59,546944;-139,727222;1;
homer;ak;us;59,642500;-151,548333;7;
newhalen;ak;us;59,720000;-154,897222;1;
anchor point;ak;us;59,776667;-151,831389;1;
ninilchik;ak;us;60,051389;-151,668889;2;
seward;ak;us;60,104167;-149,442222;4;
clam gulch;ak;us;60,231111;-151,393611;1;
soldotna;ak;us;60,487778;-151,058333;3;
sterling;ak;us;60,537222;-150,764722;1;
cordova;ak;us;60,542778;-145,757500;2;
kenai;ak;us;60,554444;-151,258333;8;
nikiski;ak;us;60,690278;-151,288889;2;
bethel;ak;us;60,792222;-161,755833;8;
nunapitchuk;ak;us;60,896944;-162,459444;1;
girdwood;ak;us;60,942500;-149,166389;1;
valdez;ak;us;61,130833;-146,348333;1;
anchorage;ak;us;61,218056;-149,900278;76;
eagle river;ak;us;61,321389;-149,567778;6;
chugiak;ak;us;61,388889;-149,481944;2;
eklutna;ak;us;61,458056;-149,362222;1;
hooper bay;ak;us;61,531111;-166,096667;1;
butte;ak;us;61,542222;-149,033333;1;
big lake;ak;us;61,550000;-149,866667;1;
wasilla;ak;us;61,581389;-149,439444;23;
palmer;ak;us;61,599722;-149,112778;10;
sutton;ak;us;61,711389;-148,894167;1;
willow;ak;us;61,747222;-150,037500;4;
glennallen;ak;us;62,109167;-145,546389;3;
trapper creek;ak;us;62,316667;-150,231389;1;
talkeetna;ak;us;62,323889;-150,109444;1;
tok;ak;us;63,336667;-142,985556;1;
savoonga;ak;us;63,694167;-170,478889;2;
healy;ak;us;63,856944;-148,966111;1;
delta junction;ak;us;64,037778;-145,732222;2;
nenana;ak;us;64,563889;-149,093056;3;
white mountain;ak;us;64,681389;-163,405556;1;
nulato;ak;us;64,719444;-158,103056;1;
north pole;ak;us;64,751111;-147,349444;16;
fairbanks;ak;us;64,837778;-147,716389;48;
ester;ak;us;64,847222;-148,014444;1;
council;ak;us;64,895000;-163,676389;1;
teller;ak;us;65,263611;-166,360833;2;
kotzebue;ak;us;66,898333;-162,596667;1;
venetie;ak;us;67,013889;-146,418611;1;
kaktovik;ak;us;70,131944;-143,623889;1;
wainwright;ak;us;70,636944;-160,038333;1;
fort morgan;al;us;30,228333;-88,023056;4;
gulf shores;al;us;30,245833;-87,700833;12;
dauphin island;al;us;30,255278;-88,109722;4;
orange beach;al;us;30,294167;-87,573611;7;
foley;al;us;30,406389;-87,683611;6;
elberta;al;us;30,414167;-87,597778;1;
grand bay;al;us;30,476111;-88,342222;4;
irvington;al;us;30,506667;-88,233889;3;
seminole;al;us;30,515000;-87,473889;1;
