day;count
01-Jan;491
02-Jan;129
03-Jan;130
04-Jan;140
05-Jan;132
06-Jan;132
07-Jan;130
08-Jan;144
09-Jan;110
10-Jan;167
11-Jan;136
12-Jan;135
13-Jan;123
14-Jan;129
15-Jan;240
16-Jan;119
17-Jan;123
18-Jan;146
19-Jan;111
20-Jan;142
21-Jan;100
22-Jan;98
23-Jan;110
24-Jan;134
25-Jan;133
26-Jan;101
27-Jan;103
28-Jan;121
29-Jan;118
30-Jan;92
31-Jan;125
01-Feb;163
02-Feb;150
03-Feb;96
04-Feb;129
05-Feb;113
06-Feb;133
07-Feb;101
08-Feb;135
09-Feb;117
10-Feb;116
11-Feb;115
12-Feb;109
13-Feb;120
14-Feb;160
15-Feb;197
16-Feb;141
17-Feb;123
18-Feb;103
19-Feb;112
20-Feb;158
21-Feb;116
22-Feb;135
23-Feb;129
24-Feb;123
25-Feb;109
26-Feb;104
27-Feb;126
28-Feb;124
29-Feb;22
01-Mar;203
02-Mar;122
03-Mar;123
04-Mar;97
05-Mar;129
06-Mar;108
07-Mar;147
08-Mar;120
09-Mar;142
10-Mar;164
11-Mar;121
12-Mar;145
13-Mar;209
14-Mar;148
15-Mar;270
16-Mar;130
17-Mar;120
18-Mar;126
19-Mar;124
20-Mar;150
21-Mar;123
22-Mar;115
23-Mar;113
24-Mar;111
25-Mar;115
26-Mar;98
27-Mar;105
28-Mar;108
29-Mar;126
30-Mar;144
31-Mar;123
01-Apr;204
02-Apr;109
03-Apr;108
04-Apr;114
05-Apr;149
06-Apr;115
07-Apr;118
08-Apr;125
09-Apr;142
10-Apr;138
11-Apr;125
12-Apr;131
13-Apr;120
14-Apr;147
15-Apr;256
16-Apr;156
17-Apr;142
18-Apr;128
19-Apr;120
20-Apr;171
21-Apr;136
22-Apr;145
23-Apr;134
24-Apr;142
25-Apr;133
26-Apr;126
27-Apr;139
28-Apr;127
29-Apr;152
30-Apr;117
01-May;271
02-May;91
03-May;134
04-May;122
05-May;172
06-May;124
07-May;105
08-May;114
09-May;89
10-May;132
11-May;114
12-May;140
13-May;102
14-May;108
15-May;284
16-May;103
17-May;103
18-May;122
19-May;128
20-May;161
21-May;116
22-May;111
23-May;106
24-May;99
25-May;123
26-May;146
27-May;103
28-May;126
29-May;113
30-May;120
31-May;99
01-Jun;790
02-Jun;120
03-Jun;117
04-Jun;104
05-Jun;151
06-Jun;182
07-Jun;141
08-Jun;137
09-Jun;144
10-Jun;199
11-Jun;118
12-Jun;137
13-Jun;126
14-Jun;167
15-Jun;650
16-Jun;136
17-Jun;141
18-Jun;151
19-Jun;177
20-Jun;254
21-Jun;157
22-Jun;178
23-Jun;187
24-Jun;168
25-Jun;179
26-Jun;138
27-Jun;128
28-Jun;149
29-Jun;144
30-Jun;491
01-Jul;402
02-Jul;153
03-Jul;289
04-Jul;1039
05-Jul;238
06-Jul;216
07-Jul;282
08-Jul;145
09-Jul;173
10-Jul;232
11-Jul;168
12-Jul;180
13-Jul;227
14-Jul;188
15-Jul;608
16-Jul;150
17-Jul;186
18-Jul;190
19-Jul;132
20-Jul;231
21-Jul;175
22-Jul;156
23-Jul;157
24-Jul;144
25-Jul;198
26-Jul;148
27-Jul;181
28-Jul;154
29-Jul;143
30-Jul;171
31-Jul;175
01-Aug;362
02-Aug;162
03-Aug;183
04-Aug;191
05-Aug;176
06-Aug;179
07-Aug;205
08-Aug;200
09-Aug;134
10-Aug;261
11-Aug;208
12-Aug;260
13-Aug;204
14-Aug;187
15-Aug;553
16-Aug;177
17-Aug;193
18-Aug;192
19-Aug;200
20-Aug;278
21-Aug;199
22-Aug;174
23-Aug;158
24-Aug;193
25-Aug;213
26-Aug;139
27-Aug;161
28-Aug;175
29-Aug;142
30-Aug;185
31-Aug;196
01-Sept;386
02-Sept;194
03-Sept;165
04-Sept;169
05-Sept;176
06-Sept;146
07-Sept;161
08-Sept;169
09-Sept;183
10-Sept;221
11-Sept;204
12-Sept;186
13-Sept;164
14-Sept;197
15-Sept;384
16-Sept;135
17-Sept;181
18-Sept;170
19-Sept;264
20-Sept;213
21-Sept;204
22-Sept;224
23-Sept;185
24-Sept;133
25-Sept;178
26-Sept;157
27-Sept;146
28-Sept;193
29-Sept;161
30-Sept;211
01-Oct;393
02-Oct;142
03-Oct;154
04-Oct;151
05-Oct;169
06-Oct;166
07-Oct;129
08-Oct;160
09-Oct;166
10-Oct;224
11-Oct;158
12-Oct;186
13-Oct;200
14-Oct;181
15-Oct;447
16-Oct;157
17-Oct;159
18-Oct;154
19-Oct;166
20-Oct;244
21-Oct;155
22-Oct;178
23-Oct;180
24-Oct;176
25-Oct;165
26-Oct;162
27-Oct;129
28-Oct;178
29-Oct;165
30-Oct;178
31-Oct;324
01-Nov;291
02-Nov;178
03-Nov;183
04-Nov;140
05-Nov;177
06-Nov;149
07-Nov;161
08-Nov;210
09-Nov;161
10-Nov;194
11-Nov;154
12-Nov;168
13-Nov;171
14-Nov;186
15-Nov;306
16-Nov;320
17-Nov;207
18-Nov;197
19-Nov;183
20-Nov;178
21-Nov;123
22-Nov;163
23-Nov;156
24-Nov;155
25-Nov;136
26-Nov;128
27-Nov;138
28-Nov;209
29-Nov;107
30-Nov;130
01-Dec;231
02-Dec;125
03-Dec;143
04-Dec;111
05-Dec;136
06-Dec;132
07-Dec;115
08-Dec;115
09-Dec;121
10-Dec;177
11-Dec;113
12-Dec;145
13-Dec;167
14-Dec;116
15-Dec;198
16-Dec;131
17-Dec;113
18-Dec;118
19-Dec;97
20-Dec;127
21-Dec;110
22-Dec;103
23-Dec;141
24-Dec;207
25-Dec;178
26-Dec;103
27-Dec;108
28-Dec;130
29-Dec;127
30-Dec;97
31-Dec;342
Grand Total;61476
