year;count
1910;2
1920;1
1925;1
1929;1
1931;2
1936;1
1937;2
1939;3
1941;1
1942;2
1943;1
1944;2
1945;7
1946;5
1947;29
1948;6
1949;14
1950;16
1951;11
1952;35
1953;23
1954;35
1955;23
1956;38
1957;58
1958;38
1959;38
1960;44
1961;37
1962;51
1963;64
1964;72
1965;151
1966;144
1967;136
1968;165
1969;111
1970;102
1971;92
1972;114
1973;178
1974;207
1975;228
1976;209
1977;189
1978;240
1979;182
1980;180
1981;128
1982;124
1983;114
1984;134
1985;160
1986;139
1987;164
1988;182
1989;191
1990;181
1991;165
1992;174
1993;212
1994;298
1995;561
1996;487
1997;912
1998;1313
1999;2105
2000;2057
2001;2337
2002;2329
2003;2790
2004;3111
2005;3035
2006;2745
2007;3318
2008;3858
2009;3523
2010;3413
2011;4203
2012;6060
2013;5799
2014;1863
Grand Total;61476
